Kanji	Reading	Audio	Rank according to residents	Population_(2020)	Prefecture	Map	Map_zoomed	Map_empty
東京	とうきょう	pronunciation_ja_東京.mp3	1	9.744.534	東京都	1_Tokio.png	東京_zoomed.png	japan pref.png
横浜	よこはま	pronunciation_ja_横浜.mp3	2	3.778.318	神奈川県	2_Yokohama.png	横浜_zoomed.png	japan pref.png
大阪	おおさか	pronunciation_ja_大阪.mp3	3	2.754.742	大阪府	3_Osaka.png	大阪_zoomed.png	japan pref.png
名古屋	なごや	pronunciation_ja_名古屋.mp3	4	2.333.406	愛知県	4_Nagoya.png	名古屋_zoomed.png	japan pref.png
札幌	さっぽろ	pronunciation_ja_札幌.ogg	5	1.975.065	北海道	5_Sapporo.png	札幌_zoomed.png	japan pref.png
福岡	ふくおか	pronunciation_ja_福岡.ogg	6	1.613.361	富山県	6_Fukuoka.png	福岡_zoomed.png	japan pref.png
川崎	かわさき	pronunciation_ja_川崎.ogg	7	1.539.081	神奈川県	7_Kawasaki.png	川崎_zoomed.png	japan pref.png
神戸	こうべ	pronunciation_ja_神戸.ogg	8	1.527.022	兵庫県	8_Kobe.png	神戸_zoomed.png	japan pref.png
京都	きょうと	pronunciation_ja_京都.ogg	9	1.464.890	京都府	9_Kyoto.png	京都_zoomed.png	japan pref.png
埼玉	さいたま	pronunciation_ja_埼玉.ogg	10	1.324.591	埼玉県	10_Saitama.png	埼玉_zoomed.png	japan pref.png
広島	ひろしま	pronunciation_ja_広島.mp3	11	1.201.281	広島県	11_Hiroshima.png	広島_zoomed.png	japan pref.png
仙台	せんだい	pronunciation_ja_仙台.ogg	12	1.097.196	宮城県	12_Sendai.png	仙台_zoomed.png	japan pref.png
千葉	ちば	pronunciation_ja_千葉.ogg	13	975.210	千葉県	13_Chiba.png	千葉_zoomed.png	japan pref.png
北九州	きたきゅうしゅう	pronunciation_ja_北九州.ogg	14	939.622	福岡県	14_Kitakyushu.png	北九州_zoomed.png	japan pref.png
堺	さかい	pronunciation_ja_堺.ogg	15	826.447	大阪府	15_Sakai.png	堺_zoomed.png	japan pref.png
浜松	はままつ	pronunciation_ja_浜松.ogg	16	791.155	静岡県	16_Hamamatsu.png	浜松_zoomed.png	japan pref.png
新潟	にいがた	pronunciation_ja_新潟.ogg	17	789.715	新潟県	17_Niigata.png	新潟_zoomed.png	japan pref.png
熊本	くまもと	pronunciation_ja_熊本.ogg	18	738.744	熊本県	18_Kumamoto.png	熊本_zoomed.png	japan pref.png
相模原	さがみはら	pronunciation_ja_相模原.ogg	19	725.302	神奈川県	19_Sagamihara.png	相模原_zoomed.png	japan pref.png
岡山	おかやま	pronunciation_ja_岡山.mp3	20	725.108	岡山県	20_Okayama.png	岡山_zoomed.png	japan pref.png
静岡	しずおか	pronunciation_ja_静岡.mp3	21	693.759	静岡県	21_Shizuoka.png	静岡_zoomed.png	japan pref.png
船橋	ふなばし	pronunciation_ja_船橋.ogg	22	642.972	千葉県	22_Funabashi.png	船橋_zoomed.png	japan pref.png
川口	かわぐち	pronunciation_ja_川口.mp3	23	594.461	埼玉県	23_Kawaguchi.png	川口_zoomed.png	japan pref.png
鹿児島	かごしま	pronunciation_ja_鹿児島.ogg	24	593.460	鹿児島県	24_Kagoshima.png	鹿児島_zoomed.png	japan pref.png
八王子	はちおうじ	pronunciation_ja_八王子.ogg	25	579.605	東京都	25_Hachioji.png	八王子_zoomed.png	japan pref.png
姫路	ひめじ	pronunciation_ja_姫路.ogg	26	530.723	兵庫県	26_Himeji.png	姫路_zoomed.png	japan pref.png
宇都宮	うつのみや	pronunciation_ja_宇都宮.ogg	27	519.026	栃木県	27_Utsunomiya.png	宇都宮_zoomed.png	japan pref.png
松山	まつやま	pronunciation_ja_松山.ogg	28	511.569	愛媛県	28_Matsuyama.png	松山_zoomed.png	japan pref.png
松戸	まつど	pronunciation_ja_松戸.mp3	29	498.293	千葉県	29_Matsudo.png	松戸_zoomed.png	japan pref.png
市川	いちかわ	pronunciation_ja_市川.ogg	30	496.943	千葉県	30_Ichikawa.png	市川_zoomed.png	japan pref.png
東大阪	ひがしおおさか	chrome_mMI5SWQ3Ma.mp3	31	494.074	大阪府	31_Higashiosaka.png	東大阪_zoomed.png	japan pref.png
西宮	にしのみや	pronunciation_ja_西宮.ogg	32	485.705	兵庫県	32_Nishinomiya.png	西宮_zoomed.png	japan pref.png
大分	おおいた	pronunciation_ja_大分.mp3	33	475.852	大分県	33_Oita.png	大分_zoomed.png	japan pref.png
倉敷	くらしき	pronunciation_ja_倉敷.ogg	34	474.793	岡山県	34_Kurashiki.png	倉敷_zoomed.png	japan pref.png
金沢	かなざわ	pronunciation_ja_金沢.mp3	35	463.583	石川県	35_Kanazawa.png	金沢_zoomed.png	japan pref.png
福山	ふくやま	oddcast-2976e04a-65618266-081995bc-0df8f763-04bc6243.mp3	36	461.268	広島県	36_Fukuyama.png	福山_zoomed.png	japan pref.png
尼崎	あまがさき	pronunciation_ja_尼崎.ogg	37	459.717	兵庫県	37_Amagasaki.png	尼崎_zoomed.png	japan pref.png
藤沢	ふじさわ	pronunciation_ja_藤沢.mp3	38	437.155	神奈川県	38_Fujisawa.png	藤沢_zoomed.png	japan pref.png
町田	まちだ	pronunciation_ja_町田.mp3	39	431.525	東京都	39_Machida.png	町田_zoomed.png	japan pref.png
柏	かしわ	pronunciation_ja_柏.ogg	40	426.552	千葉県	40_Kashiwa.png	柏_zoomed.png	japan pref.png
豊田	とよた	pronunciation_ja_豊田.ogg	41	422.511	東京都	41_Toyoda.png	豊田_zoomed.png	japan pref.png
高松	たかまつ	pronunciation_ja_高松.mp3	42	417.803	香川県	42_Takamatsu.png	高松_zoomed.png	japan pref.png
富山	とやま	pronunciation_ja_富山.mp3	43	414.171	富山県	43_Toyama.png	富山_zoomed.png	japan pref.png
長崎	ながさき	pronunciation_ja_長崎.ogg	44	409.305	長崎県	44_Nagasaki.png	長崎_zoomed.png	japan pref.png
岐阜	ぎふ	pronunciation_ja_岐阜.mp3	45	402.742	岐阜県	45_Gifu.png	岐阜_zoomed.png	japan pref.png
豊中	とよなか	chrome_cWtp8nPoAV.mp3	46	401.818	大阪府	46_Toyonaka.png	豊中_zoomed.png	japan pref.png
宮崎	みやざき	pronunciation_ja_宮崎.ogg	47	401.591	宮崎県	47_Miyazaki.png	宮崎_zoomed.png	japan pref.png
枚方	ひらかた	pronunciation_ja_枚方.ogg	48	397.596	大阪府	48_Hirakata.png	枚方_zoomed.png	japan pref.png
横須賀	よこすか	pronunciation_ja_横須賀.mp3	49	388.504	神奈川県	49_Yokosuka.png	横須賀_zoomed.png	japan pref.png
吹田	すいた	pronunciation_ja_吹田.ogg	50	385.787	大阪府	50_Suita.png	吹田_zoomed.png	japan pref.png
岡崎	おかざき	pronunciation_ja_岡崎.mp3	51	384.805	愛知県	51_Okazaki.png	岡崎_zoomed.png	japan pref.png
一宮	いちのみや	pronunciation_ja_一宮.ogg	52	379.981	香川県	52_Ichinomiya.png	一宮_zoomed.png	japan pref.png
長野	ながの	pronunciation_ja_長野.mp3	53	373.251	長野県	53_Nagano.png	長野_zoomed.png	japan pref.png
高崎	たかさき	pronunciation_ja_高崎.ogg	54	373.218	群馬県	54_Takasaki.png	高崎_zoomed.png	japan pref.png
豊橋	とよはし	pronunciation_ja_豊橋.mp3	55	372.134	愛知県	55_Toyohashi.png	豊橋_zoomed.png	japan pref.png
和歌山	わかやま	pronunciation_ja_和歌山.ogg	56	356.858	和歌山県	56_Wakayama.png	和歌山_zoomed.png	japan pref.png
奈良	なら	pronunciation_ja_奈良.mp3	57	354.833	奈良県	57_Nara.png	奈良_zoomed.png	japan pref.png
川越	かわごえ	pronunciation_ja_川越.ogg	58	354.680	埼玉県	58_Kawagoe.png	川越_zoomed.png	japan pref.png
高槻	たかつき	pronunciation_ja_高槻.ogg	59	352.876	大阪府	59_Takatsuki.png	高槻_zoomed.png	japan pref.png
大津	おおつ	pronunciation_ja_大津.ogg	60	345.202	滋賀県	60_Otsu.png	大津_zoomed.png	japan pref.png
所沢	ところざわ	pronunciation_ja_所沢.mp3	61	342.535	埼玉県	61_Tkorozawa.png	所沢_zoomed.png	japan pref.png
越谷	こしがや	pronunciation_ja_越谷.mp3	62	341.765	埼玉県	62_Koshigaya.png	越谷_zoomed.png	japan pref.png
磐城	いわき	pronunciation_ja_磐城.mp3	63	333.202	奈良県	63_Iwaki.png	磐城_zoomed.png	japan pref.png
前橋	まえばし	pronunciation_ja_前橋.ogg	64	332.332	群馬県	64_Maebashi.png	前橋_zoomed.png	japan pref.png
旭川	あさひかわ	pronunciation_ja_旭川.ogg	65	329.513	北海道	65_Asahikawa.png	旭川_zoomed.png	japan pref.png
郡山	こおりやま	pronunciation_ja_郡山.ogg	66	327.872	福島県	66_Koriyama.png	郡山_zoomed.png	japan pref.png
高知	こうち	pronunciation_ja_高知.ogg	67	326.814	高知県	67_Kochi.png	高知_zoomed.png	japan pref.png
那覇	なは	pronunciation_ja_那覇.ogg	68	317.832	沖縄県	68_Naha.png	那覇_zoomed.png	japan pref.png
春日井	かすがい	pronunciation_ja_春日井.mp3	69	308.832	愛知県	69_Kasugai.png	春日井_zoomed.png	japan pref.png
秋田	あきた	pronunciation_ja_秋田.mp3	70	307.885	秋田県	70_Akita.png	秋田_zoomed.png	japan pref.png
四日市	よっかいち	pronunciation_ja_四日市.mp3	71	305.744	三重県	71_Yokkaichi.png	四日市_zoomed.png	japan pref.png
明石	あかし	pronunciation_ja_明石.ogg	72	303.838	兵庫県	72_Akashi.png	明石_zoomed.png	japan pref.png
久留米	くるめ	pronunciation_ja_久留米.mp3	73	303.496	福岡県	73_Kurume.png	久留米_zoomed.png	japan pref.png
盛岡	もりおか	pronunciation_ja_盛岡.mp3	74	289.893	岩手県	74_Morioka.png	盛岡_zoomed.png	japan pref.png
茨木	いばらき	pronunciation_ja_茨木.ogg	75	288.014	大阪府	75_Ibaragi.png	茨木_zoomed.png	japan pref.png
福島	ふくしま	pronunciation_ja_福島.ogg	76	282.802	福島県	76_Fukushima.png	福島_zoomed.png	japan pref.png
青森	あおもり	pronunciation_ja_青森.mp3	77	275.340	青森県	77_Aomori.png	青森_zoomed.png	japan pref.png
津	つ	chrome_g3X8OXgG5K.mp3	78	274.759	三重県	78_Tsu.png	津_zoomed.png	japan pref.png
水戸	みと	pronunciation_ja_水戸.ogg	79	270.810	茨城県	79_Mito.png	水戸_zoomed.png	japan pref.png
市原	いちはら	chrome_AJH87sv3WO.mp3	80	269.653	京都府	80_Ichihara.png	市原_zoomed.png	japan pref.png
長岡	ながおか	pronunciation_ja_長岡.mp3	81	267.115	新潟県	81_Nagaoka.png	長岡_zoomed.png	japan pref.png
八尾	やお	howtopronounce_八尾.mp3	82	264.654	大阪府	82_Yao.png	八尾_zoomed.png	japan pref.png
府中	ふちゅう	pronunciation_ja_府中.mp3	83	262.932	東京都	83_Fuchu.png	府中_zoomed.png	japan pref.png
福井	ふくい	pronunciation_ja_福井.mp3	84	262.501	福井県	84_Fukui.png	福井_zoomed.png	japan pref.png
加古川	かこがわ	pronunciation_ja_加古川.ogg	85	260.988	兵庫県	85_Kakogawa.png	加古川_zoomed.png	japan pref.png
平塚	ひらつか	pronunciation_ja_平塚.mp3	86	258.524	神奈川県	86_Hiratsuka.png	平塚_zoomed.png	japan pref.png
下関	しものせき	pronunciation_ja_下関.ogg	87	255.199	山口県	87_shimonoseki.png	下関_zoomed.png	japan pref.png
徳島	とくしま	pronunciation_ja_徳島.mp3	88	252.364	徳島県	88_Tokushima.png	徳島_zoomed.png	japan pref.png
函館	はこだて	pronunciation_ja_函館.ogg	89	251.271	北海道	89_Hakodate.png	函館_zoomed.png	japan pref.png
草加	そうか	pronunciation_ja_草加.ogg	90	248.037	埼玉県	90_Souka.png	草加_zoomed.png	japan pref.png
山形	やまがた	pronunciation_ja_山形.ogg	91	247.747	山形県	91_Yamagata.png	山形_zoomed.png	japan pref.png
富士	ふじ	pronunciation_ja_富士.mp3	92	245.489	静岡県	92_Fuji.png	富士_zoomed.png	japan pref.png
佐世保	させぼ	pronunciation_ja_佐世保.ogg	93	243.387	長崎県	93_Sasebo.png	佐世保_zoomed.png	japan pref.png
調布	ちょうふ	pronunciation_ja_調布.ogg	94	242.721	東京都	94_Chofu.png	調布_zoomed.png	japan pref.png
茅ケ崎	ちがさき	chrome_NKE2Jpc1U1.mp3	95	242.603	神奈川県	95_Chigasaki.png	茅ケ崎_zoomed.png	japan pref.png
筑波	つくば	chrome_Kx8WoPCtNo.mp3	96	241.785	茨城県	96_Tsukuba.png	筑波_zoomed.png	japan pref.png
松本	まつもと	pronunciation_ja_松本.mp3	97	241.337	長野県	97_Matsumoto.png	松本_zoomed.png	japan pref.png
大和	やまと	pronunciation_ja_大和.mp3	98	239.269	神奈川県	98_Yamato.png	大和_zoomed.png	japan pref.png
佐賀	さが	pronunciation_ja_佐賀.ogg	99	233.466	佐賀県	99_Saga.png	佐賀_zoomed.png	japan pref.png
春日部	かすかべ	pronunciation_ja_春日部.ogg	100	229.767	埼玉県	100_Kasukabe.png	春日部_zoomed.png	japan pref.png
寝屋川	ねやがわ	chrome_GKZGfdVjRq.mp3	101	229.749	大阪府	101_Neyagawa.png	寝屋川_zoomed.png	japan pref.png
上尾	あげお	pronunciation_ja_上尾.mp3	102	227.020	埼玉県	102_Ageo.png	上尾_zoomed.png	japan pref.png
宝塚	たからづか	pronunciation_ja_宝塚.mp3	103	226.658	兵庫県	103_Takarazuka.png	宝塚_zoomed.png	japan pref.png
厚木	あつぎ	pronunciation_ja_厚木.ogg	104	223.747	神奈川県	104_Atsugi.png	厚木_zoomed.png	japan pref.png
八戸	はちのへ	pronunciation_ja_八戸.ogg	105	223.529	青森県	105_Hachinohe.png	八戸_zoomed.png	japan pref.png
太田	おおた	pronunciation_ja_太田.mp3	106	223.150	群馬県	106_Ota.png	太田_zoomed.png	japan pref.png
呉	くれ	chrome_7VAah6bkM5.mp3	107	214.717	広島県	107_Kure.png	呉_zoomed.png	japan pref.png
伊勢崎	いせさき	chrome_SHPYp4AOYX.mp3	108	211.975	群馬県	108_Isesaki.png	伊勢崎_zoomed.png	japan pref.png
西東京	にしとうきょう	chrome_WZTb4UJpmj.mp3	109	207.389	京都府	109_Nishitokyo.png	西東京_zoomed.png	japan pref.png
松江	まつえ	pronunciation_ja_松江.ogg	110	203.779	島根県	110_Matsue.png	松江_zoomed.png	japan pref.png
流山	ながれやま	chrome_WBirz93TEg.mp3	111	199.960	千葉県	111_Nagareyama.png	流山_zoomed.png	japan pref.png
八千代	やちよ	pronunciation_ja_八千代.ogg	112	199.597	新潟県	112_Yachiyo.png	八千代_zoomed.png	japan pref.png
小平	こだいら	pronunciation_ja_小平.ogg	113	198.977	東京都	113_Kodaira.png	小平_zoomed.png	japan pref.png
伊丹	いたみ	pronunciation_ja_伊丹.mp3	114	198.244	兵庫県	114_Itami.png	伊丹_zoomed.png	japan pref.png
東広島	ひがしひろしま	pronunciation_ja_東広島.ogg	115	196.755	広島県	115_Higashihiroshima.png	東広島_zoomed.png	japan pref.png
鈴鹿	すずか	pronunciation_ja_鈴鹿.mp3	116	195.742	三重県	116_Suzuka.png	鈴鹿_zoomed.png	japan pref.png
三鷹	みたか	pronunciation_ja_三鷹.ogg	117	195.558	東京都	117_Mitaka.png	三鷹_zoomed.png	japan pref.png
熊谷	くまがい	pronunciation_ja_熊谷.ogg	118	194.439	埼玉県	118_Kumagai.png	熊谷_zoomed.png	japan pref.png
山口	やまぐち	pronunciation_ja_山口.mp3	119	194.110	山口県	119_Yamaguchi.png	山口_zoomed.png	japan pref.png
岸和田	きしわだ	pronunciation_ja_岸和田.mp3	120	190.796	大阪府	120_Kishiwada.png	岸和田_zoomed.png	japan pref.png
日野	ひの	pronunciation_ja_日野.ogg	121	190.261	東京都	121_Hino.png	日野_zoomed.png	japan pref.png
甲府	こうふ	pronunciation_ja_甲府.ogg	122	189.742	山梨県	122_Kofu.png	甲府_zoomed.png	japan pref.png
沼津	ぬまづ	pronunciation_ja_沼津.mp3	123	189.611	静岡県	123_Numazu.png	沼津_zoomed.png	japan pref.png
小田原	おだわら	pronunciation_ja_小田原.mp3	124	188.986	神奈川県	124_Odawara.png	小田原_zoomed.png	japan pref.png
鳥取	とっとり	pronunciation_ja_鳥取.ogg	125	188.614	鳥取県	125_Tottori.png	鳥取_zoomed.png	japan pref.png
安城	あんじょう	pronunciation_ja_安城.mp3	126	188.512	愛知県	126_Anjo.png	安城_zoomed.png	japan pref.png
上越	じょうえつ	pronunciation_ja_上越.ogg	127	188.119	北海道	127_Joetsu.png	上越_zoomed.png	japan pref.png
立川	たちかわ	pronunciation_ja_立川.mp3	128	187.089	東京都	128_Tachikawa.png	立川_zoomed.png	japan pref.png
