kanji_raw,reading,audio_field_raw,rank,population,map_html,map_empty_html,kanji,audio_filename,map_filename,map_empty_filename,lat,lon,geocode_query,prefecture
東京,とうきょう,[sound:pronunciation_ja_東京.mp3],1,9.744.534,"<img src=""1_Tokio.png"">","<img src=""japan pref.png"">",東京,pronunciation_ja_東京.mp3,1_Tokio.png,japan pref.png,35.6792492,139.5583275,"東京市, Japan",東京都
横浜,よこはま,[sound:pronunciation_ja_横浜.mp3],2,3.778.318,"<img src=""2_Yokohama.png"">","<img src=""japan pref.png"">",横浜,pronunciation_ja_横浜.mp3,2_Yokohama.png,japan pref.png,35.4503381,139.6343802,"横浜市, Japan",神奈川県
大阪,おおさか,[sound:pronunciation_ja_大阪.mp3],3,2.754.742,"<img src=""3_Osaka.png"">","<img src=""japan pref.png"">",大阪,pronunciation_ja_大阪.mp3,3_Osaka.png,japan pref.png,34.6937569,135.5014539,"大阪市, Japan",大阪府
名古屋,なごや,[sound:pronunciation_ja_名古屋.mp3],4,2.333.406,"<img src=""4_Nagoya.png"">","<img src=""japan pref.png"">",名古屋,pronunciation_ja_名古屋.mp3,4_Nagoya.png,japan pref.png,35.1851045,136.8998438,"名古屋市, Japan",愛知県
札幌,さっぽろ,[sound:pronunciation_ja_札幌.ogg],5,1.975.065,"<img src=""5_Sapporo.png"">","<img src=""japan pref.png"">",札幌,pronunciation_ja_札幌.ogg,5_Sapporo.png,japan pref.png,43.061936,141.3542924,"札幌市, Japan",北海道
福岡,ふくおか,[sound:pronunciation_ja_福岡.ogg],6,1.613.361,"<img src=""6_Fukuoka.png"">","<img src=""japan pref.png"">",福岡,pronunciation_ja_福岡.ogg,6_Fukuoka.png,japan pref.png,33.5898988,130.4017509,"福岡市, Japan",福岡県
川崎,かわさき,[sound:pronunciation_ja_川崎.ogg],7,1.539.081,"<img src=""7_Kawasaki.png"">","<img src=""japan pref.png"">",川崎,pronunciation_ja_川崎.ogg,7_Kawasaki.png,japan pref.png,35.5306639,139.7037668,"川崎市, Japan",神奈川県
神戸,こうべ,[sound:pronunciation_ja_神戸.ogg],8,1.527.022,"<img src=""8_Kobe.png"">","<img src=""japan pref.png"">",神戸,pronunciation_ja_神戸.ogg,8_Kobe.png,japan pref.png,34.6932379,135.1943764,"神戸市, Japan",兵庫県
京都,きょうと,[sound:pronunciation_ja_京都.ogg],9,1.464.890,"<img src=""9_Kyoto.png"">","<img src=""japan pref.png"">",京都,pronunciation_ja_京都.ogg,9_Kyoto.png,japan pref.png,35.0115754,135.7681441,"京都市, Japan",京都府
<a>埼</a><a>玉</a>,さいたま,[sound:pronunciation_ja_埼玉.ogg],10,1.324.591,"<img src=""10_Saitama.png"">","<img src=""japan pref.png"">",埼玉,pronunciation_ja_埼玉.ogg,10_Saitama.png,japan pref.png,35.8616402,139.6457957,"埼玉市, Japan",埼玉県
広島,ひろしま,[sound:pronunciation_ja_広島.mp3],11,1.201.281,"<img src=""11_Hiroshima.png"">","<img src=""japan pref.png"">",広島,pronunciation_ja_広島.mp3,11_Hiroshima.png,japan pref.png,34.3917241,132.4517589,"広島市, Japan",広島県
仙台,せんだい,[sound:pronunciation_ja_仙台.ogg][sound:pronunciation_ja_仙台.ogg],12,1.097.196,"<img src=""12_Sendai.png"">","<img src=""japan pref.png"">",仙台,pronunciation_ja_仙台.ogg,12_Sendai.png,japan pref.png,38.2677554,140.8691498,"仙台市, Japan",宮城県
千葉,ちば,[sound:pronunciation_ja_千葉.ogg],13,975.210,"<img src=""13_Chiba.png"">","<img src=""japan pref.png"">",千葉,pronunciation_ja_千葉.ogg,13_Chiba.png,japan pref.png,35.6070629,140.1062653,"千葉市, Japan",千葉県
北九州,きたきゅうしゅう,[sound:pronunciation_ja_北九州.ogg],14,939.622,"<img src=""14_Kitakyushu.png"">","<img src=""japan pref.png"">",北九州,pronunciation_ja_北九州.ogg,14_Kitakyushu.png,japan pref.png,33.8829996,130.8749015,"北九州市, Japan",福岡県
堺,さかい,[sound:pronunciation_ja_堺.ogg],15,826.447,"<img src=""15_Sakai.png"">","<img src=""japan pref.png"">",堺,pronunciation_ja_堺.ogg,15_Sakai.png,japan pref.png,34.5737364,135.4828866,"堺市, Japan",大阪府
浜松,はままつ,[sound:pronunciation_ja_浜松.ogg],16,791.155,"<img src=""16_Hamamatsu.png"">","<img src=""japan pref.png"">",浜松,pronunciation_ja_浜松.ogg,16_Hamamatsu.png,japan pref.png,34.7109786,137.7259431,"浜松市, Japan",静岡県
新潟,にいがた,[sound:pronunciation_ja_新潟.ogg],17,789.715,"<img src=""17_Niigata.png"">","<img src=""japan pref.png"">",新潟,pronunciation_ja_新潟.ogg,17_Niigata.png,japan pref.png,37.9163757,139.0365062,"新潟市, Japan",新潟県
熊本,くまもと,[sound:pronunciation_ja_熊本.ogg],18,738.744,"<img src=""18_Kumamoto.png"">","<img src=""japan pref.png"">",熊本,pronunciation_ja_熊本.ogg,18_Kumamoto.png,japan pref.png,32.8033909,130.7082737,"熊本市, Japan",熊本県
相模原,さがみはら,[sound:pronunciation_ja_相模原.ogg],19,725.302,"<img src=""19_Sagamihara.png"">","<img src=""japan pref.png"">",相模原,pronunciation_ja_相模原.ogg,19_Sagamihara.png,japan pref.png,35.5714621,139.3731052,"相模原市, Japan",神奈川県
岡山,おかやま,[sound:pronunciation_ja_岡山.mp3],20,725.108,"<img src=""20_Okayama.png"">","<img src=""japan pref.png"">",岡山,pronunciation_ja_岡山.mp3,20_Okayama.png,japan pref.png,34.6553944,133.9194595,"岡山市, Japan",岡山県
静岡,しずおか,[sound:pronunciation_ja_静岡.mp3],21,693.759,"<img src=""21_Shizuoka.png"">","<img src=""japan pref.png"">",静岡,pronunciation_ja_静岡.mp3,21_Shizuoka.png,japan pref.png,34.9751974,138.3831697,"静岡市, Japan",静岡県
