Prize_Type,Year,Laureate,Laureate_img,Rationale,Birth_Year,Death_Year,Portrait_URL,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_img_1,Nationality_img_2,Nationality_img_3,Nationality_img_4,Flag_URL_1,Flag_URL_2,Flag_URL_3,Flag_URL_4
Physics,1901,Wilhelm Röntgen,/imgs/Laureates/Wilhelm_R_ntgen_1845.JPG,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,1845,1923,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/WilhelmR%C3%B6ntgen.JPG/120px-WilhelmR%C3%B6ntgen.JPG,German,,,,/imgs/Flags/40px-Flag_of_Germany_%281867%E2%80%931918%29.svg.png,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Germany_%281867%E2%80%931918%29.svg/40px-Flag_of_Germany_%281867%E2%80%931918%29.svg.png,,,
Physics,1902,Hendrik Lorentz,/imgs/Laureates/Hendrik_Lorentz_1853.jpg,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1853,1928,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/H_A_Lorentz_%28Nobel%29.jpg/120px-H_A_Lorentz_%28Nobel%29.jpg,Dutch,,,,/imgs/Flags/40px-Flag_of_the_Netherlands.svg.png,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/40px-Flag_of_the_Netherlands.svg.png,,,
Physics,1902,Pieter Zeeman,/imgs/Laureates/Pieter_Zeeman_1865.jpg,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1865,1943,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Pieter_Zeeman_1902.jpg/120px-Pieter_Zeeman_1902.jpg,Dutch,,,,/imgs/Flags/40px-Flag_of_the_Netherlands.svg.png,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/40px-Flag_of_the_Netherlands.svg.png,,,
Physics,1903,Henri Becquerel,/imgs/Laureates/Henri_Becquerel_1852.jpg,for his discovery of spontaneous radioactivity,1852,1908,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Henri_Becquerel_1903.jpg/120px-Henri_Becquerel_1903.jpg,French,,,,/imgs/Flags/40px-Flag_of_France.svg.png,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png,,,
Physics,1903,Pierre Curie,/imgs/Laureates/Pierre_Curie_1859.jpg,for their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1859,1906,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/PierreCurie.jpg/120px-PierreCurie.jpg,French,,,,/imgs/Flags/40px-Flag_of_France.svg.png,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png,,,
Physics,1903,Marie Curie,/imgs/Laureates/Marie_Curie_1867.jpg,for their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1867,1934,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Marie_Curie_1903.jpg/120px-Marie_Curie_1903.jpg,Polish,French,,,/imgs/Flags/40px-Military_ensign_of_Vistula_Flotilla_of_Congress_Poland.svg.png,/imgs/Flags/40px-Flag_of_France.svg.png,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Military_ensign_of_Vistula_Flotilla_of_Congress_Poland.svg/40px-Military_ensign_of_Vistula_Flotilla_of_Congress_Poland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png,,
Physics,1904,Lord Rayleigh,/imgs/Laureates/Lord_Rayleigh_1842.jpg,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,1842,1919,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/John_William_Strutt_%28cropped%29.jpg/120px-John_William_Strutt_%28cropped%29.jpg,British,,,,/imgs/Flags/40px-Flag_of_the_United_Kingdom.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png,,,
Physics,1905,Philipp Lenard,/imgs/Laureates/Philipp_Lenard_1862.jpg,for his work on cathode rays,1862,1947,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Lenard.jpg/120px-Lenard.jpg,Hungarian,German,,,/imgs/Flags/40px-Flag_of_Hungary_%281915-1918%2C_1919-1946%29.svg.png,/imgs/Flags/40px-Flag_of_Germany_%281867%E2%80%931918%29.svg.png,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Flag_of_Hungary_%281915-1918%2C_1919-1946%29.svg/40px-Flag_of_Hungary_%281915-1918%2C_1919-1946%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Germany_%281867%E2%80%931918%29.svg/40px-Flag_of_Germany_%281867%E2%80%931918%29.svg.png,,
Physics,1906,J. J. Thomson,/imgs/Laureates/J_J_Thomson_1856.jpg,for his theoretical and experimental investigations on the conduction of electricity by gases,1856,1940,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/J.J_Thomson.jpg/120px-J.J_Thomson.jpg,British,,,,/imgs/Flags/40px-Flag_of_the_United_Kingdom.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png,,,
Physics,1907,Albert A. Michelson,/imgs/Laureates/Albert_A_Michelson_1852.jpg,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,1852,1931,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Albert_Abraham_Michelson2.jpg/120px-Albert_Abraham_Michelson2.jpg,American,,,,/imgs/Flags/40px-Flag_of_the_United_States_%281896%E2%80%931908%29.svg.png,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Flag_of_the_United_States_%281896%E2%80%931908%29.svg/40px-Flag_of_the_United_States_%281896%E2%80%931908%29.svg.png,,,
